id,title,community,years,housetype,square,floor,taxtype,totalPrice,unitPrice,followInfo
0,宝星华庭一层带花园，客厅挑高，通透四居室。房主自荐,宝星国际三期,底层(共22层)2010年建板塔结合,4室1厅,298.79平米,底层(共22层)2010年建板塔结合,距离15号线望京东站680米房本满五年,2598,86951,53人关注 / 共44次带看 / 一年前发布
1,三面采光全明南北朝向 正对小区绿地花园,顶秀青溪,中楼层(共11层)2008年建板塔结合,3室2厅,154.62平米,中楼层(共11层)2008年建板塔结合,距离5号线立水桥站1170米房本满两年随时看房,1000,64675,323人关注 / 共579次带看 / 一年前发布
2,沁园公寓 三居室 距离苏州街地铁站383米,沁园公寓,低楼层(共24层)1999年建塔楼,3室2厅,177.36平米,低楼层(共24层)1999年建塔楼,距离10号线苏州街站383米房本满五年,1200,67659,185人关注 / 共108次带看 / 一年前发布
3,金星园东南向户型，四居室设计，中间楼层,金星园,中楼层(共28层)2007年建塔楼,4室2厅,245.52平米,中楼层(共28层)2007年建塔楼,距离机场线三元桥站1153米房本满五年,1650,67205,157人关注 / 共35次带看 / 一年前发布
4,龙湾别墅 一期独栋 满五年 带下沉式庭院，精装,龙湾别墅,地下室(共3层)2006年建,3室3厅,351.48平米,地下室(共3层)2006年建,房本满五年,2400,68283,120人关注 / 共42次带看 / 一年前发布
5,长椿街★满五年★距离地铁259米,广信嘉园,低楼层(共22层)2002年建塔楼,3室1厅,130.03平米,低楼层(共22层)2002年建塔楼,距离7号线广安门内站397米房本满五年,1160,89211,376人关注 / 共79次带看 / 一年前发布
6,独栋别墅，小区花园好，四环内位置好,CBD国际高尔夫别墅,地下室(共2层)2006年建,5室2厅,396.82平米,地下室(共2层)2006年建,房本满五年,2800,70561,45人关注 / 共24次带看 / 一年前发布
7,御园平层 两卧客厅朝南 精装修 采光好 送车库房主自荐,御园,低楼层(共3层)2008年建,4室2厅,363.58平米,低楼层(共3层)2008年建,房本满两年,3900,107267,146人关注 / 共48次带看 / 一年前发布
8,华尔街观典 观湖大宅 南北通透 看房有钥匙房主自荐,华尔街观典,中楼层(共26层)2007年建板塔结合,5室2厅,439.18平米,中楼层(共26层)2007年建板塔结合,距离10号线莲花桥站1143米房本满五年随时看房,2628,59839,123人关注 / 共74次带看 / 一年前发布
9,怡升园 4室2厅 1950万房主自荐,怡升园,中楼层(共14层)2000年建板塔结合,4室2厅,256.11平米,中楼层(共14层)2000年建板塔结合,距离10号线知春里站887米房本满五年,1950,76140,98人关注 / 共40次带看 / 一年前发布
10,贵宾楼四居 挑高3.3米 仅交契税 保养好 赠送车位,棕榈泉国际公寓,底层(共30层)2003年建板楼,4室2厅,332.26平米,底层(共30层)2003年建板楼,距离14号线(东段)朝阳公园站369米房本满两年,2990,89990,205人关注 / 共28次带看 / 一年前发布
11,田村半壁店 南北通透大三居 户型方正 出行购物便利,田村33号院,顶层(共6层)1999年建塔楼,3室1厅,134.1平米,顶层(共6层)1999年建塔楼,房本满五年,690,51455,168人关注 / 共11次带看 / 一年前发布
